,G547 N,G547 T,G576 N,G576 T,G652 N,G652 T,G659 N,G659 T,G691 N,G691 T,G696 N,G696 T,G699 N,G699 T,G761 N,G761 T,G850 N,G850 T,G871 N,G871 T,G701 N,G701 T,G013 N,G013 T,G603 N,G603 T,G026 N,G026 T,G220 N,G220 T,G575 N,G575 T,G613 N,G613 T,G702 N,G702 T,G623 N,G623 T,G645 N,G645 T,G529 N,G529 T,G648 N,G648 T,G601 N,G601 T,G727 N,G727 T,G001 N,G001 T,G243 N,G243 T,G531 N,G531 T,G612 N,G612 T,G428 N,G428 T,G699N_2*,G761T_2*
miR-147b,2,3,1,35,0,50,0,2,0,26,0,0,0,91,6,4,1,18,1,0,0,0,2,5,0,26,4,309,0,24,3,3,3,27,5,0,1,31,5,4,3,106,2,7,0,20,0,0,3,18,18,31,2,6,2,8,0,0,1,1
miR-148a,6,21,25,152,7,56,62,47,11,24,3,1,2,56,65,1,7,6,35,5,81,9,25,31,11,5,8,1110,0,37,40,1,92,134,129,7,187,885,112,2,214,2151,169,1,20,204,6,3,6,10,585,77,111,69,42,6,6,5,17,0
miR-148a*,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,1,1,10,0,1,0,2,4,7,2,0,0,14,3,0,2,7,1,0,1,7,0,0,1,0,3,2,1,3,1,0,0,0,2,0
miR-148b,2,2,24,65,9,5,67,14,25,14,4,0,0,5,20,0,13,4,29,1,45,6,42,18,15,0,6,336,1,19,55,0,114,32,110,1,271,81,38,0,77,312,55,0,20,57,15,1,3,19,362,29,55,21,12,1,2,0,10,0
miR-148b*,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miR-149,4,3,8,159,5,0,10,4,1,0,0,0,0,80,13,0,1,15,11,2,4,4,30,115,19,6,40,557,1,16,42,2,48,138,49,2,47,117,51,1,101,212,28,3,11,34,10,0,4,26,54,93,15,181,12,1,3,8,16,1
miR-149*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
miR-150,23,5,51,1518,44,156,105,30,24,130,8,2,0,368,100,3,47,74,39,74,28,21,183,1273,206,12,557,1041,14,404,298,13,293,1758,907,76,232,7069,174,3,821,1282,125,4,109,2416,28,1,3,26,348,354,181,1099,26,13,1,207,58,7
miR-150*,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5,0,2,2,0,2,0,2,0,2,3,1,1,1,3,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0
miR-151-3p,22,23,44,262,82,82,146,25,49,159,11,18,0,67,107,16,13,23,156,39,101,13,184,72,214,44,59,1981,9,106,821,54,848,248,756,4,660,188,643,7,256,1612,876,13,60,313,117,2,63,556,572,103,103,292,85,25,0,0,272,9
miR-151-5p,275,94,615,2050,478,469,3177,86,338,1087,46,108,28,117,2985,44,249,188,2294,512,1650,106,3791,775,3560,280,914,11367,35,1390,6981,145,9188,714,7879,54,13688,2108,7532,317,3952,12053,13879,86,1382,2953,2228,74,405,1509,15144,784,3086,1486,881,223,78,52,1225,71
miR-152,15,15,48,103,40,14,211,9,54,17,4,2,1,30,25,0,2,9,50,6,94,9,136,22,60,11,21,528,2,14,164,1,267,23,344,1,602,40,77,1,61,719,138,2,36,108,29,1,2,6,674,33,49,85,7,0,2,2,16,0
miR-153,0,0,0,11,2,0,8,0,1,1,0,0,0,1,1,0,0,2,3,1,9,1,8,1,2,0,2,15,0,0,7,0,45,7,16,0,28,5,3,0,13,18,13,0,1,1,6,0,2,2,27,1,23,2,0,0,0,0,3,0
miR-154,1,2,6,3,2,0,12,0,6,2,0,1,0,0,5,0,1,2,5,0,10,6,7,10,3,0,5,55,0,6,3,0,32,4,22,0,25,12,13,0,14,91,19,0,1,11,3,0,0,0,34,4,7,5,1,0,0,0,0,0
miR-154*,0,1,0,1,2,0,5,1,1,0,1,0,0,0,3,0,0,2,5,1,0,0,2,5,1,1,0,9,0,2,4,0,19,1,10,0,7,7,6,0,2,24,4,0,0,4,0,0,0,0,7,0,1,4,0,0,3,0,0,0
miR-155,4,42,3,312,13,1289,33,14,9,742,1,6,1,218,22,1,6,48,34,23,19,13,32,203,17,14,9,652,0,14,60,14,85,838,200,28,137,1076,68,0,48,1574,38,0,28,80,10,0,0,287,183,160,49,521,24,6,1,37,2,4
miR-155*,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
miR-15a,92,234,28,1356,407,582,336,48,75,562,3,4,4,540,148,2,727,244,202,34,126,24,990,1509,689,43,1043,8839,107,277,641,38,1116,2458,3027,152,823,2667,752,0,567,3755,413,5,276,605,199,20,53,727,2653,3288,273,1508,88,4,17,364,20,1
miR-15a*,0,2,0,5,3,8,3,0,2,7,1,0,0,12,2,0,2,2,2,0,2,0,3,1,3,2,0,79,1,0,4,1,3,3,5,1,6,7,2,0,0,30,2,0,0,6,0,1,0,18,28,9,1,15,4,0,0,0,0,0
miR-15b,101,453,127,12388,375,1165,1283,332,55,956,13,19,6,532,837,14,3621,1710,1747,280,188,166,1078,5434,1046,254,3584,23398,353,1506,3218,244,4633,6051,7061,844,4457,14854,2343,2,7123,12993,2127,47,1054,2905,298,37,121,1433,4773,6060,1989,17368,701,98,73,3014,180,36
miR-15b*,0,2,0,23,2,9,4,3,1,8,0,1,0,1,12,0,38,10,13,0,1,1,6,5,6,4,7,156,4,4,20,2,8,21,33,6,14,16,13,0,2,106,5,0,16,2,0,1,1,2,14,4,13,38,7,0,0,0,1,0
miR-16,177,412,70,4243,643,1434,1292,155,78,1130,13,17,2,484,310,2,839,304,525,127,204,48,1445,1635,1717,81,823,15076,120,488,1676,43,2174,1668,5355,169,2393,5202,1554,0,1756,10406,1295,10,430,760,273,46,33,524,4401,2349,847,4906,147,16,36,1422,32,12
miR-16-1*,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,1,0,1,0,0,0,1,1,2,0,0,9,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
miR-16-2*,4,2,0,72,2,14,25,1,1,6,4,1,0,2,13,0,35,5,9,0,8,2,15,24,14,9,39,978,4,78,39,6,65,127,106,5,96,141,32,0,48,823,43,1,31,31,4,1,0,2,87,17,32,127,15,1,1,2,0,0
miR-17,25,32,19,12,82,117,39,77,38,281,15,0,2,7,10,1,51,8,40,3,39,4,17,6,27,4,3,91,9,19,19,2,7,2,18,3,26,6,15,2,1,50,21,1,23,44,24,1,3,63,20,3,21,4,20,0,2,8,43,1
miR-17*,12,5,0,147,56,196,59,13,23,555,1,4,1,7,169,16,47,32,179,22,59,6,121,41,141,38,42,1038,10,87,209,16,207,41,173,7,238,135,336,23,96,575,617,11,137,242,83,4,122,1568,915,161,86,126,125,14,18,8,141,3
miR-181a,22,351,25,1667,94,428,323,140,48,429,23,83,4,697,226,32,46,209,614,198,100,20,417,496,341,222,194,7065,13,515,1274,48,1236,664,1058,105,2432,3546,826,13,8907,11252,2525,22,442,1758,149,18,97,477,4104,1572,746,3583,304,39,10,9,513,20
miR-181a*,0,3,103,14,0,4,5,1,1,2,0,0,0,3,8,0,0,2,8,0,3,0,10,6,2,3,5,38,1,0,9,0,18,29,31,1,8,29,8,1,43,46,7,0,10,6,0,0,0,3,30,8,10,11,4,0,0,3,1,0
miR-181a-2*,1,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,1,0,0,3,11,0,0,3,1,9,2,2,0,5,3,10,0,15,9,6,0,4,4,0,0,0,2,10,3,0,2,1,0,5,0,0,0
miR-181b,0,45,2,62,15,55,13,27,6,62,4,1,0,34,16,2,3,25,31,1,9,3,59,42,27,3,31,731,0,84,47,12,174,112,89,4,133,105,87,0,183,1744,133,1,37,35,9,2,4,26,231,39,46,118,18,1,1,0,6,1
miR-181c,3,20,2,482,4,20,13,7,2,6,1,2,0,82,17,2,0,33,29,5,6,0,64,126,55,4,53,99,0,25,33,4,104,156,37,4,62,363,79,0,369,168,180,0,19,410,9,0,4,192,322,110,39,292,5,3,3,13,15,0
miR-181c*,1,1,0,3,0,4,0,0,1,2,0,0,0,0,2,0,0,0,5,0,1,0,5,3,0,0,2,3,0,1,4,0,8,2,5,0,8,3,5,0,2,8,16,0,3,9,0,0,6,25,34,3,3,2,2,0,2,0,1,0
miR-181d,0,2,0,4,2,2,10,0,2,0,1,0,0,2,3,1,0,0,3,0,2,0,10,4,1,0,2,11,0,2,4,1,22,2,10,0,26,5,6,0,5,42,21,0,4,5,0,0,0,16,44,5,11,7,0,0,0,0,1,0
miR-182,1,40,2,235,5,21,6,20,1,33,1,0,1,61,16,0,42,267,36,0,1,1,4,121,9,8,77,672,22,21,16,5,12,222,36,20,79,135,30,11,184,509,45,0,88,1210,0,0,4,308,146,295,43,167,32,4,0,0,22,0
miR-182*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miR-183,0,18,0,36,0,6,1,6,1,4,0,0,0,6,6,0,23,54,19,0,3,0,2,26,11,2,8,192,1,5,2,2,1,33,7,6,11,21,9,2,30,113,7,2,14,142,0,0,5,169,21,47,6,30,5,3,0,0,0,0
miR-183*,0,2,0,2,0,5,0,2,0,9,0,0,0,2,2,0,0,8,3,0,0,0,0,6,0,5,1,51,0,4,0,0,1,11,0,2,2,6,0,0,5,33,0,1,0,7,0,0,1,54,6,18,0,11,0,1,0,0,0,0
miR-184,0,0,0,97,0,1,0,0,0,1,0,0,0,0,5,0,0,2,5,16,0,0,0,1,0,5,1,8,0,95,2,0,16,0,1,0,0,12,27,2,22,3,138,1,1,10,0,0,0,0,17,3,4,4,0,0,0,0,4,5
miR-185,38,71,104,633,65,414,236,53,62,393,4,24,8,225,86,22,800,166,118,63,27,3,308,119,242,191,134,8894,41,232,258,70,281,241,1659,31,3434,823,317,108,363,9447,298,19,291,1130,50,32,26,1394,2349,662,326,954,100,65,1,94,333,7
miR-185*,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
miR-186,22,40,120,230,106,47,280,63,153,63,14,2,2,128,134,7,40,13,274,31,153,10,446,65,358,47,50,2223,4,165,1370,14,1097,339,1003,7,1369,360,872,26,327,2002,1894,6,155,291,269,4,103,234,1517,98,267,260,93,11,16,3,586,3
miR-186*,1,3,1,0,4,0,8,7,13,1,2,4,1,5,1,0,0,0,0,1,2,1,19,9,6,0,3,27,0,2,3,0,3,3,4,0,6,2,12,1,14,7,16,0,0,2,3,0,1,6,9,2,2,0,1,0,0,0,2,0
miR-187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,250,0,1,0,1,28,12,4,3,1,5,5,0,15,120,12,0,16,5,0,0,0,0,17,1,9,3,5,0,0,0,3,1
miR-187*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
miR-188-3p,0,0,0,0,0,1,5,0,2,3,0,0,0,1,5,0,0,0,10,1,2,0,5,0,2,0,2,4,0,1,14,0,11,5,2,0,31,0,12,0,3,8,15,0,1,2,8,0,1,29,8,1,2,4,1,0,1,0,0,1
miR-188-5p,0,3,1,16,6,15,23,4,9,33,2,1,2,5,5,0,0,0,21,1,6,1,22,15,14,1,14,60,1,5,57,1,53,12,19,4,166,23,59,0,17,56,36,0,6,25,19,1,17,691,52,12,1,7,3,1,0,0,3,0
miR-18a,5,10,4,9,10,56,6,14,8,126,0,0,1,8,5,3,21,16,3,3,14,6,4,0,2,2,3,63,1,7,2,2,7,12,6,7,7,11,3,3,0,30,2,0,6,8,7,1,3,57,13,9,11,10,7,0,0,0,4,0
miR-18a*,0,0,2,4,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,3,49,0,0,0,0,0,4,2,0,1,6,1,0,0,10,1,0,1,2,0,0,0,6,4,9,0,5,0,0,0,2,1,0
miR-18b,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
miR-18b*,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-190,1,7,4,14,15,1,32,2,3,7,1,2,0,4,4,0,4,2,6,0,17,3,16,7,8,0,2,28,0,0,21,0,86,3,72,0,42,4,21,0,16,46,26,0,17,0,2,0,0,3,78,1,26,3,4,0,0,0,0,0
miR-190b,0,0,0,3,0,0,0,1,0,0,0,0,0,0,8,0,0,2,4,0,4,0,1,0,1,0,1,10,0,1,1,0,2,0,0,0,3,1,1,0,82,10,5,0,10,1,0,0,1,0,69,0,23,1,15,0,0,0,0,0
miR-191,203,143,376,2788,317,1366,1127,126,214,3867,32,196,13,370,1530,142,508,283,2117,1994,276,43,1299,1301,2774,654,1078,8314,176,3001,4809,422,4298,1608,4461,86,5126,4087,8033,67,4191,9267,10578,190,1104,2283,427,66,300,7905,5484,1236,1592,2875,2044,622,176,95,1527,281
miR-191*,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,2,4,0,0,2,0,0,0,1,0,1,2,4,0,2,0,1,0,2,1,0,0,1,3,4,2,0,0,1,0,0,0,0,0
miR-192,134,506,5,9,7,9,211,7,7,840,1,22,71,8,30,2,30,22,24,264,62,27,15,11,25,6,21,5,9,217,39,14,23,43,14,10,14,22,42,0,12,15,44,1,20,11,30,1,1,6,37,10,32,34,42,3,0,4,16,48
miR-192*,0,3,0,0,0,0,0,0,0,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,3,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0
miR-193a-3p,25,97,51,1023,19,33,105,84,44,128,3,0,2,53,54,1,16,71,34,10,41,2,206,227,53,8,299,1643,5,82,76,8,197,127,151,20,726,970,157,7,1260,738,262,13,54,961,85,0,20,13,758,832,109,1693,27,10,42,58,31,2
miR-193a-5p,9,6,49,20,20,4,36,6,32,6,0,1,1,4,53,4,18,8,35,4,29,2,111,24,131,7,22,511,7,15,164,1,109,11,130,0,404,29,166,8,49,206,132,1,70,36,53,1,63,25,441,72,27,67,17,3,0,0,115,0
miR-193b,15,35,28,447,24,10,28,29,14,17,0,0,0,42,7,1,11,44,19,8,16,4,54,142,89,12,162,625,32,67,44,2,59,60,99,17,220,505,84,0,347,358,84,3,14,54,43,31,11,21,185,1612,16,955,10,5,73,280,12,0
miR-193b*,1,2,17,17,3,2,17,2,6,2,1,1,1,5,1,2,2,1,10,23,5,1,15,8,35,73,8,161,1,26,24,6,9,6,39,2,146,10,34,24,14,114,25,4,2,13,8,25,5,74,63,53,8,55,0,2,0,0,15,2
miR-194,2,206,0,25,5,7,16,7,2,570,0,2,0,5,1,1,4,3,3,13,6,0,6,2,1,0,9,107,2,37,7,1,17,10,17,2,22,24,7,0,27,109,22,0,3,13,3,1,1,6,55,16,12,21,0,0,0,14,1,1
miR-194*,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-195,231,131,166,2864,604,130,3071,20,176,165,26,18,4,83,597,1,69,53,1409,179,555,82,2356,1231,1420,26,964,1965,20,329,4293,13,8741,508,7144,26,5165,1135,2549,0,4732,6704,5064,3,501,322,715,9,24,71,6837,398,1777,769,178,6,41,108,79,6
miR-195*,0,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,3,0,3,0,5,0,0,0,0,0,5,0,13,0,9,0,12,0,9,0,0,2,14,0,1,0,6,0,0,0,8,0,2,0,0,0,0,0,0,0
miR-196a,41,8,0,23,449,71,702,12,1,127,2,1,0,32,2,2,9,10,241,30,5,3,26,6,1301,2,5,456,0,60,1635,5,273,31,607,5,60,16,8,0,2,150,61,0,2,15,1,0,1,23,527,2,4,129,1,3,0,2,1,4
miR-196a*,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-196b,9,58,28,141,75,4,444,27,185,19,44,2,0,28,19,1,2,6,226,9,601,19,361,42,94,7,5,387,0,37,796,1,1611,64,230,4,1466,69,292,9,4,412,761,0,9,221,129,0,0,156,1391,24,4,90,0,2,0,0,7,0
miR-197,11,12,48,88,17,6,13,7,5,14,1,1,4,48,18,1,20,8,16,34,11,1,122,122,196,3,290,508,10,62,45,6,53,60,299,6,60,196,315,0,265,351,94,3,26,50,16,4,28,47,216,187,74,157,9,4,0,3,159,3
miR-198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-199a-5p,72,81,201,404,379,58,783,39,207,51,52,90,2,42,153,4,22,20,607,47,431,23,695,202,426,76,85,2124,26,271,1241,2,1593,32,1114,5,1982,204,2503,4,179,4582,4264,3,131,524,475,31,284,61,1749,82,274,201,48,17,445,12,216,6
miR-199b-3p,136,301,260,270,309,117,448,127,144,91,86,49,3,78,245,4,103,116,725,256,489,113,558,271,268,242,98,225,60,810,423,55,609,249,499,36,268,236,590,4,99,515,385,15,673,205,520,46,37,43,220,106,285,106,209,33,235,24,123,23
miR-199b-5p,35,20,83,222,99,31,296,14,26,32,20,33,0,9,88,0,4,5,551,58,218,7,291,143,166,39,15,1197,20,88,546,3,806,46,907,2,718,122,770,1,99,2248,1353,0,67,90,119,15,1,7,790,21,159,52,40,5,2,0,20,1
miR-19a,16,51,43,418,64,144,127,56,19,269,24,4,4,122,81,4,103,52,96,7,79,5,168,144,41,12,139,2626,6,32,126,11,665,366,524,23,394,493,178,8,308,1178,335,0,214,345,29,2,11,827,838,249,166,283,44,2,1,0,34,0
miR-19a*,0,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,2,0,0,4,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
miR-19b,103,162,300,1492,234,458,538,125,115,993,41,4,9,285,417,29,292,211,428,45,294,23,915,572,297,53,598,8370,35,212,858,56,4260,1508,2363,75,1744,1727,1197,30,1389,4205,1979,6,1336,2484,299,6,176,2762,3681,1349,879,1040,347,26,10,19,410,7
miR-19b-1*,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,4,0,0,0,2,0,0,0,0,2,1,0,11,0,0,0,0,1,0
miR-19b-2*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-200a,0,232,0,697,5,161,0,134,1,237,7,2,0,115,128,1,6,42,112,22,5,0,2,153,9,51,4,5628,1,123,4,10,9,264,28,22,30,158,28,1,665,2264,148,2,181,313,0,1,3,0,822,129,203,348,138,3,0,4,22,2
miR-200a*,0,4,0,65,0,8,0,3,0,12,0,0,0,5,4,0,0,3,10,13,0,0,0,7,0,11,0,267,0,20,0,7,0,52,1,2,1,46,1,5,46,175,7,1,4,26,0,4,0,0,16,27,10,41,11,2,0,1,3,4
miR-200b,2,903,1,6039,11,775,1,242,2,2395,11,19,2,426,3401,11,7,155,705,139,14,10,10,511,18,146,76,21270,8,667,20,74,47,1824,83,148,114,2884,1050,6,9179,9553,4292,13,1086,1359,3,3,3,2,2270,1020,1715,3607,2588,19,0,175,196,14
miR-200b*,0,7,0,68,0,6,0,4,0,14,0,0,0,3,27,0,0,2,19,7,0,0,0,8,2,6,1,379,0,8,2,2,1,8,1,0,0,38,4,0,50,218,19,0,27,40,0,0,0,0,45,14,26,28,12,2,0,0,4,1
miR-200c,1,1217,0,6780,25,1048,4,770,22,12355,48,106,8,1160,2742,35,65,2322,1265,76,13,17,3,816,37,172,131,44907,18,717,37,194,62,1327,201,1026,146,4154,740,9,16865,18294,3006,39,855,6578,4,7,8,17,6785,9003,1801,41925,2588,54,0,11,474,6
miR-200c*,0,1,0,15,0,0,0,3,0,0,0,1,0,5,1,0,0,6,2,0,0,0,0,6,0,0,1,45,0,0,0,0,0,7,0,3,1,26,0,0,37,10,2,0,1,16,0,0,0,0,2,10,0,66,0,1,0,8,0,0
miR-202,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,1,3,3,2,20,1,2,1,0,4,0,1,0,1,0,0,0,3,1,0,0,4,5,37,3,2,2,0,0,0,0,0,0,7,26
miR-202*,0,0,2,8,0,0,3,0,0,0,2,0,0,0,1,0,5,0,8,6,2,0,23,20,60,0,31,14,16,15,19,1,27,2,39,0,24,5,19,0,10,21,12,0,4,0,12,8,12,0,20,0,9,0,1,0,1,0,42,45
miR-203,2,35,3,486,2,31,1,143,0,20,1,0,0,13,8,8,5,132,15,14,4,0,10,250,31,106,33,14191,2,251,3,23,29,270,86,31,66,700,19,2,53,1999,22,4,46,216,0,2,0,3,218,1622,58,758,0,6,0,0,14,1
miR-204,7,0,57,67,12,7,44,0,24,0,5,2,2,0,66,1,4,0,138,7,85,11,115,47,77,3,60,101,3,8,198,0,1531,10,1114,1,647,65,1112,0,199,116,1087,1,131,128,18,1,54,4,545,3,156,15,10,0,2,0,79,0
miR-205,0,5,8,22151,24,768,1,854,1,4,1,3,1,5921,20,13,118,5306,3,5,1,53,13,3738,32,431,512,76176,6,2315,3,261,106,7573,299,929,222,18199,185,57,137,9714,4,41,83,11255,0,24,0,15,577,21882,59,28618,21,295,0,0,12,9
miR-206,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,4,1,0,5,576,3,2,0,1,0,2,0,0,1,2,1,4,1,2,1,23,2,3,1,1,121,6,0,5,0,2,0,0,0,10,0
miR-208b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-20a,10,45,10,442,59,119,186,31,12,454,2,0,1,8,25,0,77,48,62,4,118,11,117,45,53,8,28,3348,7,9,67,2,129,40,289,22,422,151,77,2,91,1563,163,0,59,117,18,0,5,226,843,145,119,399,28,0,0,2,5,0
miR-20a*,3,1,2,63,8,45,31,6,0,105,0,2,0,2,32,0,2,14,31,7,14,1,27,10,23,6,6,194,0,5,59,2,77,15,52,3,47,48,62,0,45,162,164,1,28,10,10,0,0,553,114,10,36,32,23,1,1,0,3,0
miR-20b,0,0,2,13,4,10,0,8,1,48,0,1,0,0,0,0,9,2,2,2,1,1,3,2,2,1,3,67,1,13,4,0,2,1,17,0,15,13,10,0,0,31,10,0,1,19,0,0,0,7,30,0,3,29,1,0,0,1,0,0
miR-20b*,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0
miR-21,468,20814,535,120815,2658,26147,11868,5423,9332,16574,309,862,15,23002,6590,78,1084,7970,9589,1047,6800,3860,9004,13355,3348,5271,1474,377693,79,6432,17716,1148,25320,27539,119248,3894,79547,67635,14005,19,15128,476438,16897,351,2568,26304,2208,1309,86,2048,61936,52071,8967,107857,1465,228,2,62,271,109
miR-21*,0,120,1,3179,4,71,11,150,12,52,2,2,1,437,22,2,3,301,18,4,3,7,2,414,15,15,56,326,0,28,65,13,60,1496,113,249,54,3690,41,0,241,461,23,4,2,1681,5,1,2,15,29,1187,7,4016,3,3,0,27,17,0
miR-210,3,26,6,54,4,23,22,22,12,23,1,0,2,49,22,2,1,3,31,3,12,0,17,23,18,83,4,4266,2,23,61,7,19,26,27,8,91,21,25,20,12,821,63,3,18,480,10,3,5,238,167,104,22,256,20,3,0,0,75,2
miR-211,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-212,0,1,0,48,0,0,4,2,1,1,0,0,0,1,1,0,0,0,1,0,1,0,3,15,1,3,5,152,0,28,2,2,13,37,43,2,19,109,6,0,10,261,11,0,2,9,1,0,0,1,9,15,3,24,0,0,0,1,0,0
miR-214,58,172,125,769,206,25,691,14,105,40,17,8,3,31,77,2,16,23,273,17,363,22,364,194,198,30,106,613,1,56,737,1,1464,31,616,3,1747,177,536,0,342,1512,737,4,91,735,91,1,43,29,2222,173,144,539,14,4,861,94,61,2
miR-214*,4,6,7,31,4,1,30,2,1,1,1,0,0,1,5,1,0,1,13,1,38,3,27,13,8,11,6,130,1,7,58,1,135,9,63,0,99,18,27,1,17,213,56,0,1,49,12,4,7,1,107,10,14,16,1,0,1,0,5,0
miR-215,4,95,0,0,0,0,4,0,0,37,0,1,0,1,4,0,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,5,0,0,0,0,1
miR-216a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,9,1,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0
miR-216b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0
miR-217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,162,1,0,0,0,0,0,0,0,0,0
